Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_Bin,Health_GDP_Impact,CO2_per_Energy,Dependency_Ratio
0.033,41.0,7.080867896690782,26.0,9.57073837671504,21.14492586979648,0.053,4.330733340286331,239.0,0.08,0.0,0.14,49.0,48.0,0.0,1,0.446,0.524,0.029,13.877278995961733,0.227,16.993564429978885,17.281246492014,Low,1.1206810710992134,0.6698555620568892,0.9064885496183206
0.042,41.0,7.883069351305753,26.0,9.502338118495565,23.04425907284605,0.034,2.3978952727983707,239.0,0.08,0.0,0.216,51.0,49.0,0.0,1,0.448,0.523,0.029,17.342474224183377,0.223,19.758309935715648,19.72630720471483,Lower-Middle,0.7835048084767657,0.7506013672729653,0.9120458891013384
0.039,41.0,7.213768308118642,26.0,7.655390644826152,20.98119743086042,0.053,2.70805020110221,239.0,0.077,0.0,0.12,54.0,53.0,0.0,1,0.442,0.529,0.029,15.3975267070617,0.329,16.213405921671733,16.52356082573315,Low,1.1120034638356022,0.8334422562927006,0.890359168241966
0.017,41.0,9.899680314193175,26.0,8.896588071791218,23.790070965195053,0.054,4.820281565605037,239.0,0.026,0.0,0.12,75.0,71.0,0.0,1,0.298,0.641,0.06,16.073464431376948,0.634,21.40484638164071,19.552082858669273,Upper-Middle,1.2846638321205328,1.000312455401753,0.5585023400936037
0.048,41.0,7.335633981927201,26.0,9.57073837671504,22.54672528258861,0.066,2.833213344056216,239.0,0.089,0.0,0.22649999999999998,48.0,48.0,0.0,1,0.493,0.481,0.027,17.00498401875384,0.121,18.92145603792546,19.93800336967164,Lower-Middle,1.4880838686508484,0.6939566301334213,1.0810810810810811
0.045,41.0,7.506591780070841,26.0,8.739536422559677,21.903013083027613,0.056,2.9444389791664403,239.0,0.1,0.0,0.22649999999999998,42.0,42.0,0.0,1,0.457,0.515,0.027,16.12814320480795,0.348,18.020203192280615,18.440483381052466,Low,1.2265687326495462,0.7707339912691666,0.9398058252427185
0.032,41.0,9.538780436900131,26.0,9.196849781793684,22.62387337489308,0.061,5.267858159063328,239.0,0.061,0.0,0.22649999999999998,44.0,44.0,0.0,1,0.422,0.545,0.034,16.341531399578738,0.338,18.643824303266577,19.93800336967164,Lower-Middle,1.3800562758684778,0.9354634657785657,0.8366972477064218
0.05,41.0,6.661854740545311,26.0,9.57073837671504,23.436618790804065,0.061,5.267858159063328,239.0,0.095,0.1,0.12,56.0,54.0,0.5,1,0.495,0.485,0.02,16.840576414225037,0.213,20.350025877585416,19.93800336967164,Lower-Middle,1.429633746239048,0.6302165944452736,1.0618556701030928
0.013,41.0,8.150756470275551,26.0,7.60887062919126,21.371187417373182,0.063,3.6888794541139363,239.0,0.027,0.0,0.22649999999999998,75.0,68.0,0.0,1,0.259,0.641,0.1,14.939172793745154,0.647,17.76675429577647,17.840862266556567,Low,1.3463848072945104,0.9467858005250633,0.5600624024960998
0.015,41.0,10.292450580544786,26.0,9.33229248272693,22.38579269804551,0.047,3.4339872044851463,239.0,0.061,0.0,0.197,70.0,64.0,0.1,1,0.311,0.633,0.056,15.901008845471843,0.514,18.035018277846262,18.742764250367856,Lower-Middle,1.052132256808139,0.9961439436360566,0.5797788309636651
